//コマンド,modelType,soundType,laneNum,frame
POP,1,1,1,120
//低いソ8
POP,4,8,3,120
POP,4,4,0,180
POP,3,3,1,240
//低いシ9
POP,6,9,2,240
POP,4,4,0,300
POP,5,5,0,360
//低いラ10
POP,5,10,2,360
POP,2,2,3,420
POP,5,5,0,480
POP,5,10,2,480
POP,4,4,0,600
//低いレ11
POP,1,11,3,600
POP,3,3,1,660
POP,2,2,2,720
POP,1,11,3,720
POP,3,3,1,780
POP,4,4,0,840
POP,4,8,3,840
POP,1,1,1,960
POP,6,9,2,960
POP,1,1,1,1080
POP,4,8,3,1080
POP,4,4,0,1200
POP,3,3,1,1260
POP,6,9,2,1260
POP,4,4,0,1320
POP,6,9,2,1320
POP,5,5,0,1380
POP,5,10,2,1380
POP,2,2,1,1440
POP,5,5,0,1500
POP,5,10,2,1500
POP,4,4,0,1620
POP,1,11,3,1620
POP,3,3,1,1680
POP,2,2,2,1740
POP,1,11,3,1740
POP,3,3,1,1800
POP,4,4,0,1860
POP,4,8,3,1860
POP,4,8,3,1980
POP,6,6,0,2100
POP,4,8,1,2100
POP,6,6,0,2180
POP,6,6,0,2220
//低いファ12
POP,3,12,2,2220
POP,6,6,0,2340
//低いミ13
POP,2,13,1,2340
POP,6,6,0,2420
POP,6,6,0,2460
//さらに低いレ14
POP,1,14,2,2460
POP,6,6,0,2580
//さらに低いド15
POP,0,15,3,2580
POP,5,5,1,2640
POP,4,4,2,2700
POP,2,13,3,2700
POP,5,5,1,2760
POP,6,6,0,2820
POP,1,14,3,2820
POP,4,8,1,2940
POP,6,6,1,3060
POP,4,8,2,3060
POP,6,6,1,3120
POP,3,12,2,3120
POP,0,7,0,3180
POP,1,14,3,3180
POP,6,6,1,3240
POP,5,5,0,3300
//低いソ10
POP,5,10,2,3300
POP,2,2,1,3360
POP,5,5,0,3420
POP,5,10,2,3420
POP,4,4,0,3540
//低いド11
POP,1,14,3,3540
POP,3,3,1,3600
POP,6,6,0,3660
POP,1,14,3,3660
POP,3,3,1,3720
POP,4,4,0,3780
POP,4,8,3,3780
POP,4,8,3,3900
END,4020
